IdFlight,BoardingTime,FlightDate,Gate,CheckInCounter,IdFlightNumber
1,2023-11-15 17:07:00,2023-11-15,C7,Counter 8,268
2,2022-01-18 05:41:00,2022-01-18,B7,Counter 16,886
3,2022-03-04 18:10:00,2022-03-04,C4,Counter 18,186
4,2022-12-21 12:06:00,2022-12-21,A8,Counter 16,854
5,2023-08-24 05:04:00,2023-08-24,B8,Counter 19,794
6,2022-04-26 06:39:00,2022-04-26,A3,Counter 15,142
7,2023-07-17 10:40:00,2023-07-17,B10,Counter 4,66
8,2022-05-11 22:02:00,2022-05-11,C6,Counter 11,870
9,2022-10-13 12:40:00,2022-10-13,C7,Counter 9,517
10,2023-02-07 09:58:00,2023-02-07,C7,Counter 20,921
11,2022-06-28 17:39:00,2022-06-28,B2,Counter 11,418
12,2022-09-03 07:11:00,2022-09-03,B7,Counter 10,898
13,2022-02-03 15:27:00,2022-02-03,A8,Counter 7,545
14,2022-06-07 09:08:00,2022-06-07,A4,Counter 14,480
15,2022-07-30 07:12:00,2022-07-30,B8,Counter 13,201
16,2023-03-26 21:22:00,2023-03-26,A8,Counter 16,417
17,2022-12-19 04:34:00,2022-12-19,B9,Counter 3,828
18,2022-08-21 18:17:00,2022-08-21,B4,Counter 16,612
19,2023-12-17 16:17:00,2023-12-17,B1,Counter 14,758
20,2022-11-23 04:50:00,2022-11-23,A7,Counter 12,509
21,2023-10-03 15:18:00,2023-10-03,C8,Counter 8,719
22,2022-11-24 19:25:00,2022-11-24,A5,Counter 18,430
23,2023-09-22 19:03:00,2023-09-22,C3,Counter 13,475
24,2022-06-17 14:37:00,2022-06-17,C1,Counter 20,956
25,2022-06-03 03:34:00,2022-06-03,A5,Counter 11,455
26,2023-03-18 04:39:00,2023-03-18,B4,Counter 13,632
27,2022-07-05 16:35:00,2022-07-05,C5,Counter 20,123
28,2022-01-23 17:44:00,2022-01-23,A7,Counter 7,989
29,2022-03-27 15:25:00,2022-03-27,A1,Counter 4,457
30,2023-10-27 20:57:00,2023-10-27,A8,Counter 14,28
31,2023-04-30 03:58:00,2023-04-30,C4,Counter 8,630
32,2022-10-09 17:53:00,2022-10-09,B2,Counter 19,653
33,2022-10-25 17:20:00,2022-10-25,C8,Counter 13,624
34,2023-02-28 06:22:00,2023-02-28,C7,Counter 7,137
35,2023-10-03 21:11:00,2023-10-03,A9,Counter 6,526
36,2023-02-12 14:43:00,2023-02-12,B1,Counter 9,168
37,2023-08-02 02:53:00,2023-08-02,C9,Counter 11,292
38,2023-04-01 11:47:00,2023-04-01,C3,Counter 4,302
39,2023-12-15 04:03:00,2023-12-15,C9,Counter 7,96
40,2022-01-11 21:14:00,2022-01-11,B5,Counter 6,662
41,2022-09-25 01:44:00,2022-09-25,A9,Counter 14,217
42,2022-04-25 20:47:00,2022-04-25,C5,Counter 4,803
43,2022-03-21 19:53:00,2022-03-21,C2,Counter 9,163
44,2023-08-28 20:09:00,2023-08-28,A8,Counter 12,280
45,2022-09-18 17:07:00,2022-09-18,B1,Counter 18,788
46,2023-03-16 06:44:00,2023-03-16,A10,Counter 14,287
47,2023-11-08 03:28:00,2023-11-08,B2,Counter 11,639
48,2022-01-26 12:09:00,2022-01-26,B8,Counter 5,719
49,2023-04-11 21:48:00,2023-04-11,C10,Counter 9,196
