IdFlightNumber,DepartureTime,Description,Type,Start_Airport,Goal_Airport,PlaneModel_Id,NIT_Airline
1,2022-09-13 09:59:00,Vuelo 1 de JFK International a Benito Juárez,Privado,JFK International,Benito Juárez,MIJ,1001003
2,2023-05-10 13:16:00,Vuelo 2 de Charles de Gaulle a JFK International,Comercial,Charles de Gaulle,JFK International,MIJ,1001005
3,2023-04-03 20:58:00,Vuelo 3 de Benito Juárez a JFK International,Comercial,Benito Juárez,JFK International,SMN,1001003
4,2023-03-30 08:42:00,Vuelo 4 de JFK International a Charles de Gaulle,Privado,JFK International,Charles de Gaulle,AGX,1001003
5,2022-12-03 06:03:00,Vuelo 5 de JFK International a LAX,Comercial,JFK International,LAX,XNT,1001001
6,2022-04-25 02:56:00,Vuelo 6 de Toronto Pearson a Benito Juárez,Comercial,Toronto Pearson,Benito Juárez,MIJ,1001005
7,2022-04-02 03:07:00,Vuelo 7 de LAX a Charles de Gaulle,Comercial,LAX,Charles de Gaulle,MIJ,1001005
8,2023-09-14 08:15:00,Vuelo 8 de Benito Juárez a Charles de Gaulle,Comercial,Benito Juárez,Charles de Gaulle,AGX,1001003
9,2022-11-29 21:15:00,Vuelo 9 de Heathrow a LAX,Privado,Heathrow,LAX,XNT,1001005
10,2023-07-01 08:38:00,Vuelo 10 de Benito Juárez a Toronto Pearson,Comercial,Benito Juárez,Toronto Pearson,BMW,1001003
11,2023-03-28 02:11:00,Vuelo 11 de LAX a Heathrow,Comercial,LAX,Heathrow,XNT,1001005
12,2023-07-06 07:45:00,Vuelo 12 de Heathrow a LAX,Comercial,Heathrow,LAX,AGX,1001002
13,2023-12-15 13:05:00,Vuelo 13 de JFK International a Charles de Gaulle,Comercial,JFK International,Charles de Gaulle,SMN,1001003
14,2022-02-05 04:39:00,Vuelo 14 de Heathrow a Charles de Gaulle,Comercial,Heathrow,Charles de Gaulle,XNT,1001005
15,2023-10-27 10:28:00,Vuelo 15 de LAX a Heathrow,Privado,LAX,Heathrow,MIJ,1001002
16,2023-06-27 08:31:00,Vuelo 16 de Heathrow a LAX,Comercial,Heathrow,LAX,AGX,1001003
17,2023-01-10 13:47:00,Vuelo 17 de Charles de Gaulle a Heathrow,Comercial,Charles de Gaulle,Heathrow,SMN,1001002
18,2022-11-20 05:42:00,Vuelo 18 de LAX a JFK International,Comercial,LAX,JFK International,XNT,1001004
19,2022-05-01 16:50:00,Vuelo 19 de JFK International a LAX,Comercial,JFK International,LAX,MIJ,1001003
20,2023-03-28 15:06:00,Vuelo 20 de Toronto Pearson a Heathrow,Comercial,Toronto Pearson,Heathrow,CBK,1001005
21,2022-11-08 09:12:00,Vuelo 21 de JFK International a Toronto Pearson,Privado,JFK International,Toronto Pearson,AGX,1001003
22,2022-10-30 01:18:00,Vuelo 22 de Heathrow a JFK International,Comercial,Heathrow,JFK International,MIJ,1001002
23,2022-01-06 22:54:00,Vuelo 23 de Toronto Pearson a JFK International,Privado,Toronto Pearson,JFK International,CBK,1001003
24,2023-10-30 05:01:00,Vuelo 24 de Benito Juárez a Charles de Gaulle,Comercial,Benito Juárez,Charles de Gaulle,AGX,1001004
25,2022-06-23 00:25:00,Vuelo 25 de JFK International a Toronto Pearson,Comercial,JFK International,Toronto Pearson,CBK,1001005
26,2023-11-20 20:44:00,Vuelo 26 de Benito Juárez a Heathrow,Privado,Benito Juárez,Heathrow,AGX,1001001
27,2022-05-05 13:09:00,Vuelo 27 de Toronto Pearson a JFK International,Privado,Toronto Pearson,JFK International,MIJ,1001004
28,2022-02-02 07:39:00,Vuelo 28 de Heathrow a Benito Juárez,Comercial,Heathrow,Benito Juárez,CBK,1001004
29,2023-10-20 14:59:00,Vuelo 29 de Toronto Pearson a Benito Juárez,Comercial,Toronto Pearson,Benito Juárez,MIJ,1001005
30,2022-03-20 08:11:00,Vuelo 30 de LAX a Heathrow,Comercial,LAX,Heathrow,AGX,1001005
31,2022-04-19 06:07:00,Vuelo 31 de JFK International a LAX,Comercial,JFK International,LAX,SMN,1001002
32,2023-01-21 13:59:00,Vuelo 32 de Toronto Pearson a LAX,Comercial,Toronto Pearson,LAX,XNT,1001003
33,2023-04-20 14:03:00,Vuelo 33 de JFK International a Charles de Gaulle,Comercial,JFK International,Charles de Gaulle,AGX,1001002
34,2023-06-15 02:18:00,Vuelo 34 de Benito Juárez a Charles de Gaulle,Privado,Benito Juárez,Charles de Gaulle,AGX,1001002
35,2022-05-09 15:30:00,Vuelo 35 de Toronto Pearson a Heathrow,Privado,Toronto Pearson,Heathrow,CBK,1001003
36,2023-12-21 23:05:00,Vuelo 36 de JFK International a Toronto Pearson,Privado,JFK International,Toronto Pearson,XNT,1001003
37,2023-09-26 15:30:00,Vuelo 37 de Toronto Pearson a Heathrow,Privado,Toronto Pearson,Heathrow,XNT,1001003
38,2022-03-28 00:31:00,Vuelo 38 de Heathrow a LAX,Comercial,Heathrow,LAX,BMW,1001004
39,2023-09-27 05:25:00,Vuelo 39 de Charles de Gaulle a Heathrow,Comercial,Charles de Gaulle,Heathrow,BMW,1001005
40,2022-05-26 16:26:00,Vuelo 40 de Toronto Pearson a JFK International,Privado,Toronto Pearson,JFK International,AGX,1001004
41,2023-02-19 00:23:00,Vuelo 41 de Heathrow a LAX,Privado,Heathrow,LAX,BMW,1001004
42,2022-01-10 02:57:00,Vuelo 42 de LAX a Charles de Gaulle,Privado,LAX,Charles de Gaulle,CBK,1001003
43,2023-11-23 12:09:00,Vuelo 43 de JFK International a LAX,Comercial,JFK International,LAX,XNT,1001001
44,2022-02-20 16:55:00,Vuelo 44 de JFK International a Charles de Gaulle,Privado,JFK International,Charles de Gaulle,BMW,1001004
45,2022-06-20 09:51:00,Vuelo 45 de JFK International a LAX,Comercial,JFK International,LAX,CBK,1001004
46,2022-07-07 00:16:00,Vuelo 46 de Benito Juárez a LAX,Privado,Benito Juárez,LAX,CBK,1001005
47,2022-04-11 02:07:00,Vuelo 47 de JFK International a Heathrow,Privado,JFK International,Heathrow,CBK,1001003
48,2023-02-17 04:26:00,Vuelo 48 de Charles de Gaulle a JFK International,Comercial,Charles de Gaulle,JFK International,MIJ,1001002
49,2023-11-13 19:50:00,Vuelo 49 de Charles de Gaulle a JFK International,Privado,Charles de Gaulle,JFK International,BMW,1001003
50,2023-08-06 21:52:00,Vuelo 50 de Charles de Gaulle a Toronto Pearson,Privado,Charles de Gaulle,Toronto Pearson,XNT,1001003
51,2023-05-03 19:37:00,Vuelo 51 de Benito Juárez a JFK International,Comercial,Benito Juárez,JFK International,AGX,1001001
52,2022-07-03 20:13:00,Vuelo 52 de LAX a Benito Juárez,Privado,LAX,Benito Juárez,AGX,1001001
53,2022-05-14 12:16:00,Vuelo 53 de Benito Juárez a Toronto Pearson,Privado,Benito Juárez,Toronto Pearson,XNT,1001005
