IdSeat,Size,Number,Location,PlaneModel_Id
1,Small,1A,Front,SMN
2,Medium,1B,Middle,SMN
3,Large,1C,Back,SMN
4,Small,2A,Front,SMN
5,Medium,2B,Middle,SMN
6,Large,2C,Back,SMN
7,Small,3A,Front,SMN
8,Medium,3B,Middle,SMN
9,Large,3C,Back,SMN
10,Small,4A,Front,SMN
11,Medium,4B,Middle,SMN
12,Large,4C,Back,SMN
13,Small,5A,Front,SMN
14,Medium,5B,Middle,SMN
15,Large,5C,Back,SMN
16,Small,6A,Front,SMN
17,Medium,6B,Middle,SMN
18,Large,6C,Back,SMN
19,Small,7A,Front,SMN
20,Medium,7B,Middle,SMN
21,Large,7C,Back,SMN
22,Small,8A,Front,SMN
23,Medium,8B,Middle,SMN
24,Large,8C,Back,SMN
25,Small,9A,Front,SMN
26,Medium,9B,Middle,SMN
27,Large,9C,Back,SMN
28,Small,10A,Front,SMN
29,Medium,10B,Middle,SMN
30,Large,10C,Back,SMN
31,Small,11A,Front,SMN
32,Medium,11B,Middle,SMN
33,Large,11C,Back,SMN
34,Small,12A,Front,SMN
35,Medium,12B,Middle,SMN
36,Large,12C,Back,SMN
37,Small,13A,Front,SMN
38,Medium,13B,Middle,SMN
39,Large,13C,Back,SMN
40,Small,14A,Front,SMN
41,Medium,14B,Middle,SMN
42,Large,14C,Back,SMN
43,Small,15A,Front,SMN
44,Medium,15B,Middle,SMN
45,Large,15C,Back,SMN
46,Small,16A,Front,SMN
47,Medium,16B,Middle,SMN
48,Large,16C,Back,SMN
49,Small,17A,Front,SMN
50,Medium,17B,Middle,SMN
51,Large,17C,Back,SMN
52,Small,18A,Front,SMN
53,Medium,18B,Middle,SMN
54,Large,18C,Back,SMN
55,Small,19A,Front,SMN
56,Medium,19B,Middle,SMN
57,Large,19C,Back,SMN
58,Small,20A,Front,SMN
59,Medium,20B,Middle,SMN
60,Large,20C,Back,SMN
61,Small,21A,Front,SMN
62,Medium,21B,Middle,SMN
63,Large,21C,Back,SMN
64,Small,22A,Front,SMN
65,Medium,22B,Middle,SMN
66,Large,22C,Back,SMN
67,Small,23A,Front,SMN
68,Medium,23B,Middle,SMN
69,Large,23C,Back,SMN
70,Small,24A,Front,SMN
71,Medium,24B,Middle,SMN
72,Large,24C,Back,SMN
73,Small,25A,Front,SMN
74,Medium,25B,Middle,SMN
75,Large,25C,Back,SMN
76,Small,26A,Front,SMN
77,Medium,26B,Middle,SMN
78,Large,26C,Back,SMN
79,Small,27A,Front,SMN
80,Medium,27B,Middle,SMN
81,Large,27C,Back,SMN
82,Small,28A,Front,SMN
83,Medium,28B,Middle,SMN
84,Large,28C,Back,SMN
85,Small,29A,Front,SMN
86,Medium,29B,Middle,SMN
87,Large,29C,Back,SMN
88,Small,30A,Front,SMN
89,Medium,30B,Middle,SMN
90,Large,30C,Back,SMN
91,Small,31A,Front,SMN
92,Medium,31B,Middle,SMN
93,Large,31C,Back,SMN
94,Small,32A,Front,SMN
95,Medium,32B,Middle,SMN
96,Large,32C,Back,SMN
97,Small,33A,Front,SMN
98,Medium,33B,Middle,SMN
99,Large,33C,Back,SMN
100,Small,34A,Front,SMN
101,Medium,34B,Middle,SMN
102,Large,34C,Back,SMN
103,Small,35A,Front,SMN
104,Medium,35B,Middle,SMN
105,Large,35C,Back,SMN
106,Small,36A,Front,SMN
107,Medium,36B,Middle,SMN
108,Large,36C,Back,SMN
109,Small,37A,Front,SMN
110,Medium,37B,Middle,SMN
111,Large,37C,Back,SMN
112,Small,38A,Front,SMN
113,Medium,38B,Middle,SMN
114,Large,38C,Back,SMN
115,Small,39A,Front,SMN
116,Medium,39B,Middle,SMN
117,Large,39C,Back,SMN
118,Small,40A,Front,SMN
119,Medium,40B,Middle,SMN
120,Large,40C,Back,SMN
121,Small,41A,Front,SMN
122,Medium,41B,Middle,SMN
123,Large,41C,Back,SMN
124,Small,42A,Front,SMN
125,Medium,42B,Middle,SMN
126,Large,42C,Back,SMN
127,Small,43A,Front,SMN
128,Medium,43B,Middle,SMN
129,Large,43C,Back,SMN
130,Small,44A,Front,SMN
131,Medium,44B,Middle,SMN
132,Large,44C,Back,SMN
133,Small,45A,Front,SMN
134,Medium,45B,Middle,SMN
